
 r(lower)	 r(upper)	 z(lower)	 z(upper)	 Vr(avg)	 Vz(avg)
0.835	0.9175	0.85	0.875	-0.0111281	0.0468523
0.9175	1	0.85	0.875	0.003458	0.0283841
0.67	0.7525	0.875	0.9	-0.029851	-0.0424527
0.7525	0.835	0.875	0.9	-0.00299677	0.0957265
0.835	0.9175	0.875	0.9	0.00361038	-0.0122144
0.9175	1	0.875	0.9	-0.0973526	-0.0669794
0.67	0.7525	0.9	0.925	-0.0570507	0.0279443
0.7525	0.835	0.9	0.925	0.0333865	-0.0372638
0.835	0.9175	0.9	0.925	-0.0800479	0.0715667
0.9175	1	0.9	0.925	0.0520789	-0.0102213
0.67	0.7525	0.925	0.95	0	0
0.7525	0.835	0.925	0.95	0	0
0.835	0.9175	0.925	0.95	0	0
0.9175	1	0.925	0.95	0	0
0.67	0.7525	0.95	0.975	0	0
0.7525	0.835	0.95	0.975	0	0
0.835	0.9175	0.95	0.975	0	0
0.9175	1	0.95	0.975	0	0
0.67	0.7525	0.975	1	0	0
0.7525	0.835	0.975	1	0	0
0.835	0.9175	0.975	1	0	0
0.9175	1	0.975	1	0	0
 r(lower)	 r(upper)	 z(lower)	 z(upper)	 Vr(avg)	 Vz(avg)
0.67	0.7525	0	0.025	-0.0405643	-1.00884
0.7525	0.835	0	0.025	-0.105491	-1.47529
0.835	0.9175	0	0.025	-0.0915115	-1.2511
0.9175	1	0	0.025	0.0371951	-1.33943
0.67	0.7525	0.025	0.05	0.0237279	-2.2124
0.7525	0.835	0.025	0.05	0.0410953	-2.23858
0.835	0.9175	0.025	0.05	0.0302772	-2.19234
0.9175	1	0.025	0.05	-0.0357587	-2.20917
0.67	0.7525	0.05	0.075	0.0212081	-1.67093
0.7525	0.835	0.05	0.075	-0.00563502	-1.73672
0.835	0.9175	0.05	0.075	0.00760195	-1.66883
0.9175	1	0.05	0.075	-0.0261368	-1.72934
0.67	0.7525	0.075	0.1	0.0103432	-1.28822
0.7525	0.835	0.075	0.1	0.0347565	-1.28963
0.835	0.9175	0.075	0.1	0.0250423	-1.2425
0.9175	1	0.075	0.1	0.0495327	-1.28906
0.67	0.7525	0.1	0.125	-0.0357333	-0.84467
0.7525	0.835	0.1	0.125	-0.0185767	-0.879588
0.835	0.9175	0.1	0.125	0.0689058	-0.902037
0.9175	1	0.1	0.125	-0.0177686	-0.889126
0.67	0.7525	0.125	0.15	0.0720605	-0.57282
0.7525	0.835	0.125	0.15	0.0122458	-0.532877
0.835	0.9175	0.125	0.15	0.0194712	-0.515031
