
 r(lower)	 r(upper)	 z(lower)	 z(upper)	 r(mid)	 z(mid)	 Vr(time avg)	 Vz(time avg)	 Temp(time avg)
0.835	0.9175	0.75	0.775	0.87625	0.7625	0.0227446	0.0868913	176.07
0.9175	1	0.75	0.775	0.95875	0.7625	0.0497752	0.139337	143.279
0.67	0.7525	0.775	0.8	0.71125	0.7875	0.00278345	0.184696	222.07
0.7525	0.835	0.775	0.8	0.79375	0.7875	0.0256472	0.168173	211.807
0.835	0.9175	0.775	0.8	0.87625	0.7875	0.00793883	0.167037	186.962
0.9175	1	0.775	0.8	0.95875	0.7875	0.0644067	0.173519	151.765
0.67	0.7525	0.8	0.825	0.71125	0.8125	-0.0264697	0.24037	221.142
0.7525	0.835	0.8	0.825	0.79375	0.8125	0.0207581	0.206761	204.382
0.835	0.9175	0.8	0.825	0.87625	0.8125	0.0664361	0.210277	183.178
0.9175	1	0.8	0.825	0.95875	0.8125	0.043388	0.266713	146.975
0.67	0.7525	0.825	0.85	0.71125	0.8375	-0.0217342	0.360901	267.348
0.7525	0.835	0.825	0.85	0.79375	0.8375	0.0146762	0.344695	250.529
0.835	0.9175	0.825	0.85	0.87625	0.8375	0.0206248	0.337978	221.877
0.9175	1	0.825	0.85	0.95875	0.8375	0.0793545	0.34988	179.158
0.67	0.7525	0.85	0.875	0.71125	0.8625	0.0475264	0.449499	300.802
0.7525	0.835	0.85	0.875	0.79375	0.8625	0.00698626	0.459775	282.5
0.835	0.9175	0.85	0.875	0.87625	0.8625	-0.00859635	0.497043	247.343
0.9175	1	0.85	0.875	0.95875	0.8625	0.040093	0.499902	202.997
0.67	0.7525	0.875	0.9	0.71125	0.8875	0.00541484	0.652918	364.879
0.7525	0.835	0.875	0.9	0.79375	0.8875	0.0449353	0.665331	330.892
0.835	0.9175	0.875	0.9	0.87625	0.8875	0.0236036	0.604847	289.471
0.9175	1	0.875	0.9	0.95875	0.8875	0.0115715	0.647407	236.855
0.67	0.7525	0.9	0.925	0.71125	0.9125	-0.010641	0.853695	456.121
